foodCode,allergenCode,status,provenance
ga_ta,peanut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,tree_nut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,dairy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,egg,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,soy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,wheat,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,fish,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,crustacean,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,mollusc,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
ga_ta,sesame,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,peanut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,tree_nut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,dairy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,egg,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,soy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,wheat,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,fish,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,crustacean,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,mollusc,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_ba_chi,sesame,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,peanut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,tree_nut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,dairy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,egg,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,soy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,wheat,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,fish,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,crustacean,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,mollusc,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_nac_vai,sesame,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,peanut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,tree_nut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,dairy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,egg,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,soy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,wheat,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,fish,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,crustacean,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,mollusc,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
suon_heo,sesame,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_bo_bap,peanut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_bo_bap,tree_nut,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_bo_bap,dairy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_bo_bap,egg,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_bo_bap,soy,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_bo_bap,wheat,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_bo_bap,fish,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
thit_bo_bap,crustacean,CAN-DIEN: absent | contains | may_contain | unknown,CAN-DIEN: can cu cho ket luan nay
