foodCode,unitCode,baseQuantityPerUnit,grossGramsPerUnit,displayStep,provenance
ga_ta,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
thit_ba_chi,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
thit_nac_vai,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
suon_heo,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
thit_bo_bap,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
thit_bo_xay,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
ca_loc,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
ca_basa,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
ca_nuc,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
tom_the,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
muc_ong,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
trung_ga,item,1,CAN-DIEN: so gam thuc te cua mot don vi nay,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
dau_hu_trang,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
gao_te,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
rau_muong,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
cai_ngot,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
cai_thao,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
bap_cai,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
rau_den,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
bi_dao,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
bi_do,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
muop_huong,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
su_su,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
ca_chua,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
ca_rot,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
khoai_tay,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
dau_cove,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
gia_do,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
nam_rom,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
hanh_tay,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
hanh_la,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
hanh_tim,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
toi,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
gung,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
sa,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
ot_hiem,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
rau_ngo,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
me_chua,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
nuoc_mam,ml,1,CAN-DIEN: so gam thuc te cua mot don vi nay,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
nuoc_tuong,ml,1,CAN-DIEN: so gam thuc te cua mot don vi nay,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
dau_an,ml,1,CAN-DIEN: so gam thuc te cua mot don vi nay,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
muoi,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
duong_cat,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
tieu_xay,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
hat_nem,g,1,1,"CAN-DIEN: buoc hien thi, vi du 5",CAN-DIEN: can cu quy doi
