foodCode,nutrientCode,amountPer100g,provenance
ga_ta,energy_kcal,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
ga_ta,protein_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
ga_ta,carbohydrate_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
ga_ta,fat_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
ga_ta,fibre_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
ga_ta,sodium_mg,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_ba_chi,energy_kcal,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_ba_chi,protein_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_ba_chi,carbohydrate_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_ba_chi,fat_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_ba_chi,fibre_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_ba_chi,sodium_mg,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_nac_vai,energy_kcal,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_nac_vai,protein_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_nac_vai,carbohydrate_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_nac_vai,fat_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_nac_vai,fibre_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
thit_nac_vai,sodium_mg,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
suon_heo,energy_kcal,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
suon_heo,protein_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
suon_heo,carbohydrate_g,CAN-DIEN: tren 100g phan an duoc,CAN-DIEN: nguon so lieu
