code,nameVi,baseDimension,baseUnitCode,factVersionNumber,categoryCode,categoryAncestry,edibleFraction,provenance,dietaryTagCodes
ga_ta,Thịt gà ta,mass,g,1,poultry,poultry|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
thit_ba_chi,Thịt ba chỉ,mass,g,1,pork,pork|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
thit_nac_vai,Thịt nạc vai heo,mass,g,1,pork,pork|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
suon_heo,Sườn heo,mass,g,1,pork,pork|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
thit_bo_bap,Thịt bò bắp,mass,g,1,beef,beef|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
thit_bo_xay,Thịt bò xay,mass,g,1,beef,beef|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
ca_loc,Cá lóc,mass,g,1,fish,fish|seafood|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
ca_basa,Cá basa,mass,g,1,fish,fish|seafood|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
ca_nuc,Cá nục,mass,g,1,fish,fish|seafood|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
tom_the,Tôm thẻ,mass,g,1,crustacean,crustacean|seafood|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
muc_ong,Mực ống,mass,g,1,mollusc,mollusc|seafood|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
trung_ga,Trứng gà,count,item,1,egg,egg|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
dau_hu_trang,Đậu hũ trắng,mass,g,1,tofu,tofu|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
gao_te,Gạo tẻ,mass,g,1,staple,staple|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
rau_muong,Rau muống,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
cai_ngot,Cải ngọt,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
cai_thao,Cải thảo,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
bap_cai,Bắp cải,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
rau_den,Rau dền,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
bi_dao,Bí đao,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
bi_do,Bí đỏ,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
muop_huong,Mướp hương,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
su_su,Su su,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
ca_chua,Cà chua,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
ca_rot,Cà rốt,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
khoai_tay,Khoai tây,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
dau_cove,Đậu cô ve,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
gia_do,Giá đỗ,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
nam_rom,Nấm rơm,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
hanh_tay,Hành tây,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
hanh_la,Hành lá,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
hanh_tim,Hành tím,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
toi,Tỏi,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
gung,Gừng,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
sa,Sả,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
ot_hiem,Ớt hiểm,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
rau_ngo,Rau ngò,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
me_chua,Me chua,mass,g,1,vegetable,vegetable|food,"CAN-DIEN: phan an duoc tren khoi luong mua, 0 < x <= 1",CAN-DIEN: nguon du lieu tra cuu duoc,
