foodCode,foodFactVersionNumber,packageQuantity,packageUnitCode,packageBaseQuantity,baseUnitCode,packagePriceVnd,purchaseIncrement,observedAt,sourceReference
ga_ta,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
thit_ba_chi,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
thit_nac_vai,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
suon_heo,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
thit_bo_bap,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
thit_bo_xay,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
ca_loc,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
ca_basa,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
ca_nuc,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
tom_the,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
muc_ong,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
trung_ga,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",item,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",item,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
dau_hu_trang,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
gao_te,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
rau_muong,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
cai_ngot,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
cai_thao,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
bap_cai,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
rau_den,1,"CAN-DIEN: so luong moi quy cach ban, vi du 1",kg,"CAN-DIEN: quy cach ban quy ve don vi co so, vi du 1000",g,,CAN-DIEN: buoc mua toi thieu ngoai cho,CAN-DIEN: YYYY-MM-DD ngay khao gia thuc te,CAN-DIEN: cho/sieu thi va cach khao
