code,nameVi,versionNumber,yieldAdultEquivalent,activeMinutes,elapsedMinutes,tagCodes
com_trang,Cơm trắng,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
ga_kho_gung,Gà kho gừng,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
ga_chien_nuoc_mam,Gà chiên nước mắm,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
ga_xao_sa_ot,Gà xào sả ớt,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
ga_kho_nam,Gà kho nấm rơm,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
thit_kho_trung,Thịt kho trứng,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
suon_ram_man,Sườn ram mặn,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
thit_xao_dau_cove,Thịt xào đậu cô ve,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
thit_xao_hanh_tay,Thịt xào hành tây,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
suon_kho_khoai_tay,Sườn kho khoai tây,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
bo_xao_gia,Bò xào giá,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
bo_kho_ca_rot,Bò kho cà rốt,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
bo_xao_hanh_tay,Bò xào hành tây,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
ca_loc_kho_to,Cá lóc kho tộ,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
ca_basa_chien_gion,Cá basa chiên giòn,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
ca_nuc_kho_ca_chua,Cá nục kho cà chua,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
ca_basa_kho_tieu,Cá basa kho tiêu,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
tom_rim_man,Tôm rim mặn,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
tom_xao_bi_dao,Tôm xào bí đao,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
muc_xao_ca_chua,Mực xào cà chua,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
trung_chien_hanh,Trứng chiên hành,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
trung_chien_thit_bam,Trứng chiên thịt băm,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
dau_hu_sot_ca_chua,Đậu hũ sốt cà chua,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
dau_hu_chien_sa,Đậu hũ chiên sả,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
dau_hu_kho_nam,Đậu hũ kho nấm,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
rau_muong_luoc,Rau muống luộc,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
rau_muong_xao_toi,Rau muống xào tỏi,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
cai_ngot_luoc,Cải ngọt luộc,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
bap_cai_xao,Bắp cải xào,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
su_su_xao_ca_rot,Su su xào cà rốt,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
muop_xao_toi,Mướp xào tỏi,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
rau_den_luoc,Rau dền luộc,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
canh_bi_dao_thit_bam,Canh bí đao thịt băm,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
canh_chua_ca_loc,Canh chua cá lóc,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
canh_cai_thao_thit,Canh cải thảo thịt bằm,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
canh_ca_chua_trung,Canh cà chua trứng,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
canh_bi_do_thit_bam,Canh bí đỏ thịt băm,1,CAN-DIEN: so nguoi lon mon nay du cho,,,
