foodCode,allergenCode,status,provenance
ga_ta,peanut,cross_contact_unverified,"Thịt gà ta is not itself the peanut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,tree_nut,cross_contact_unverified,"Thịt gà ta is not itself the tree_nut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,dairy,cross_contact_unverified,"Thịt gà ta is not itself the dairy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,egg,cross_contact_unverified,"Thịt gà ta is not itself the egg allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,soy,cross_contact_unverified,"Thịt gà ta is not itself the soy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,wheat,cross_contact_unverified,"Thịt gà ta is not itself the wheat allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,fish,cross_contact_unverified,"Thịt gà ta is not itself the fish allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,crustacean,cross_contact_unverified,"Thịt gà ta is not itself the crustacean allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,mollusc,cross_contact_unverified,"Thịt gà ta is not itself the mollusc allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
ga_ta,sesame,cross_contact_unverified,"Thịt gà ta is not itself the sesame allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,peanut,cross_contact_unverified,"Thịt ba chỉ is not itself the peanut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,tree_nut,cross_contact_unverified,"Thịt ba chỉ is not itself the tree_nut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,dairy,cross_contact_unverified,"Thịt ba chỉ is not itself the dairy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,egg,cross_contact_unverified,"Thịt ba chỉ is not itself the egg allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,soy,cross_contact_unverified,"Thịt ba chỉ is not itself the soy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,wheat,cross_contact_unverified,"Thịt ba chỉ is not itself the wheat allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,fish,cross_contact_unverified,"Thịt ba chỉ is not itself the fish allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,crustacean,cross_contact_unverified,"Thịt ba chỉ is not itself the crustacean allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,mollusc,cross_contact_unverified,"Thịt ba chỉ is not itself the mollusc allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_ba_chi,sesame,cross_contact_unverified,"Thịt ba chỉ is not itself the sesame allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,peanut,cross_contact_unverified,"Thịt nạc vai heo is not itself the peanut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,tree_nut,cross_contact_unverified,"Thịt nạc vai heo is not itself the tree_nut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,dairy,cross_contact_unverified,"Thịt nạc vai heo is not itself the dairy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,egg,cross_contact_unverified,"Thịt nạc vai heo is not itself the egg allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,soy,cross_contact_unverified,"Thịt nạc vai heo is not itself the soy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,wheat,cross_contact_unverified,"Thịt nạc vai heo is not itself the wheat allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,fish,cross_contact_unverified,"Thịt nạc vai heo is not itself the fish allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,crustacean,cross_contact_unverified,"Thịt nạc vai heo is not itself the crustacean allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,mollusc,cross_contact_unverified,"Thịt nạc vai heo is not itself the mollusc allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_nac_vai,sesame,cross_contact_unverified,"Thịt nạc vai heo is not itself the sesame allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,peanut,cross_contact_unverified,"Sườn heo is not itself the peanut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,tree_nut,cross_contact_unverified,"Sườn heo is not itself the tree_nut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,dairy,cross_contact_unverified,"Sườn heo is not itself the dairy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,egg,cross_contact_unverified,"Sườn heo is not itself the egg allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,soy,cross_contact_unverified,"Sườn heo is not itself the soy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,wheat,cross_contact_unverified,"Sườn heo is not itself the wheat allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,fish,cross_contact_unverified,"Sườn heo is not itself the fish allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,crustacean,cross_contact_unverified,"Sườn heo is not itself the crustacean allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,mollusc,cross_contact_unverified,"Sườn heo is not itself the mollusc allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
suon_heo,sesame,cross_contact_unverified,"Sườn heo is not itself the sesame allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_bo_bap,peanut,cross_contact_unverified,"Thịt bò bắp is not itself the peanut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_bo_bap,tree_nut,cross_contact_unverified,"Thịt bò bắp is not itself the tree_nut allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_bo_bap,dairy,cross_contact_unverified,"Thịt bò bắp is not itself the dairy allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
thit_bo_bap,egg,cross_contact_unverified,"Thịt bò bắp is not itself the egg allergen category based on the catalog food identity. This does NOT establish absence of unintended allergen presence or cross-contact, so app status remains unknown."
