foodCode,unitCode,baseQuantityPerUnit,grossGramsPerUnit,displayStep,provenance
ga_ta,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
thit_ba_chi,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
thit_nac_vai,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
suon_heo,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
thit_bo_bap,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
thit_bo_xay,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
ca_loc,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
ca_basa,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
ca_nuc,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
tom_the,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
muc_ong,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
trung_ga,item,1,56.7,1,https://www.ams.usda.gov/sites/default/files/media/Egg%20Grading%20Manual.pdf
dau_hu_trang,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
gao_te,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
rau_muong,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
cai_ngot,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
cai_thao,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
bap_cai,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
rau_den,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
bi_dao,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
bi_do,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
muop_huong,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
su_su,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
ca_chua,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
ca_rot,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
khoai_tay,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
dau_cove,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
gia_do,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
nam_rom,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
hanh_tay,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
hanh_la,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
hanh_tim,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
toi,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
gung,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
sa,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
ot_hiem,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
rau_ngo,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
me_chua,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
nuoc_mam,ml,1,1.21,5,https://www.ncbi.nlm.nih.gov/books/NBK234680
nuoc_tuong,ml,1,1.12,5,https://www.fao.org/4/ap815e/ap815e.pdf
dau_an,ml,1,0.92,5,https://www.fao.org/input/download/standards/336/CXS_210e_2015.pdf
muoi,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
duong_cat,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
tieu_xay,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
hat_nem,g,1,1,5,SI unit identity: 1 g base quantity = 1 gross gram for gram-denominated catalog entries.
