foodCode,nutrientCode,amountPer100g,provenance
ga_ta,energy_kcal,199,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
ga_ta,protein_g,20.3,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
ga_ta,carbohydrate_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
ga_ta,fat_g,13.1,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
ga_ta,fibre_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
ga_ta,sodium_mg,70,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
thit_ba_chi,energy_kcal,518,https://batchbase.com.au/usda-foods/167812
thit_ba_chi,protein_g,9.34,https://batchbase.com.au/usda-foods/167812
thit_ba_chi,carbohydrate_g,0,https://batchbase.com.au/usda-foods/167812
thit_ba_chi,fat_g,53,https://batchbase.com.au/usda-foods/167812
thit_ba_chi,fibre_g,0,https://batchbase.com.au/usda-foods/167812
thit_ba_chi,sodium_mg,32,https://batchbase.com.au/usda-foods/167812
thit_nac_vai,energy_kcal,149,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-lon-nac-vai-tuoi.html
thit_nac_vai,protein_g,20.83,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-lon-nac-vai-tuoi.html
thit_nac_vai,carbohydrate_g,0,https://nutrifox.com/nutrition/pork-fresh-shoulder-boston-butt-blade-steaks-separable-lean-and-fat-raw
thit_nac_vai,fat_g,7.29,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-lon-nac-vai-tuoi.html
thit_nac_vai,fibre_g,0,https://nutrifox.com/nutrition/pork-fresh-shoulder-boston-butt-blade-steaks-separable-lean-and-fat-raw
thit_nac_vai,sodium_mg,52,https://nutrifox.com/nutrition/pork-fresh-shoulder-boston-butt-blade-steaks-separable-lean-and-fat-raw
suon_heo,energy_kcal,187,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
suon_heo,protein_g,17.9,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
suon_heo,carbohydrate_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
suon_heo,fat_g,12.8,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
suon_heo,fibre_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
suon_heo,sodium_mg,60,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
thit_bo_bap,energy_kcal,122,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-bo-bap-song.html
thit_bo_bap,protein_g,21.75,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-bo-bap-song.html
thit_bo_bap,carbohydrate_g,0,https://foodstruct.com/food/beef-shank
thit_bo_bap,fat_g,3.85,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-bo-bap-song.html
thit_bo_bap,fibre_g,0,https://foodstruct.com/food/beef-shank
thit_bo_bap,sodium_mg,63,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-bo-bap-song.html
thit_bo_xay,energy_kcal,215,https://foodstruct.com/food/beef-ground-85percentleanmeat-15percentfat-raw
thit_bo_xay,protein_g,19,https://foodstruct.com/food/beef-ground-85percentleanmeat-15percentfat-raw
thit_bo_xay,carbohydrate_g,0,https://foodstruct.com/food/beef-ground-85percentleanmeat-15percentfat-raw
thit_bo_xay,fat_g,15,https://foodstruct.com/food/beef-ground-85percentleanmeat-15percentfat-raw
thit_bo_xay,fibre_g,0,https://foodstruct.com/food/beef-ground-85percentleanmeat-15percentfat-raw
thit_bo_xay,sodium_mg,66,https://foodstruct.com/food/beef-ground-85percentleanmeat-15percentfat-raw
ca_loc,energy_kcal,97,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-qua-tuoi.html
ca_loc,protein_g,18.2,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-qua-tuoi.html
ca_loc,carbohydrate_g,0,https://tools.myfooddata.com/nutrition-facts/100072385/wt1
ca_loc,fat_g,2.7,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-qua-tuoi.html
ca_loc,fibre_g,0,https://www.eatthismuch.com/calories/snakehead-fish-slices-4147044
ca_loc,sodium_mg,219,https://tools.myfooddata.com/nutrition-facts/100072385/wt1
ca_basa,energy_kcal,119,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-basa-tuoi.html
ca_basa,protein_g,15.2,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-basa-tuoi.html
ca_basa,carbohydrate_g,0,https://www.vinmec.com/eng/blog/nutritional-composition-of-basa-fish-en
ca_basa,fat_g,5.94,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-basa-tuoi.html
ca_basa,fibre_g,0,https://www.recipal.com/ingredients/71950-nutrition-facts-calories-protein-carbs-fat-basa-fish-fillet
ca_basa,sodium_mg,98,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-basa-tuoi.html
ca_nuc,energy_kcal,111,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-nuc-tuoi.html
ca_nuc,protein_g,20.2,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-nuc-tuoi.html
ca_nuc,carbohydrate_g,0,https://www.snapcalorie.com/nutrition/shortfin_scad_nutrition.html
ca_nuc,fat_g,3.3,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-nuc-tuoi.html
ca_nuc,fibre_g,0,https://www.snapcalorie.com/nutrition/shortfin_scad_nutrition.html
ca_nuc,sodium_mg,104,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-nuc-tuoi.html
tom_the,energy_kcal,85,https://batchbase.com.au/usda-foods/175179
tom_the,protein_g,20.1,https://batchbase.com.au/usda-foods/175179
tom_the,carbohydrate_g,0,https://batchbase.com.au/usda-foods/175179
tom_the,fat_g,0.51,https://batchbase.com.au/usda-foods/175179
tom_the,fibre_g,0,https://batchbase.com.au/usda-foods/175179
tom_the,sodium_mg,119,https://batchbase.com.au/usda-foods/175179
muc_ong,energy_kcal,73,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
muc_ong,protein_g,16.3,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
muc_ong,carbohydrate_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
muc_ong,fat_g,0.9,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
muc_ong,fibre_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
muc_ong,sodium_mg,44,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf
trung_ga,energy_kcal,150,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/trung-ga-ta.html
trung_ga,protein_g,12.96,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/trung-ga-ta.html
trung_ga,carbohydrate_g,1.25,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/trung-ga-ta.html
trung_ga,fat_g,10.33,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/trung-ga-ta.html
trung_ga,fibre_g,0,https://foodstruct.com/food/egg-whole-raw-frozen-salted-pasteurized
trung_ga,sodium_mg,158,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/trung-ga-ta.html
dau_hu_trang,energy_kcal,97,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/dau-phu-song.html
dau_hu_trang,protein_g,10.9,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/dau-phu-song.html
