code,nameVi,baseDimension,baseUnitCode,factVersionNumber,categoryCode,categoryAncestry,edibleFraction,provenance,dietaryTagCodes
ga_ta,Thịt gà ta,mass,g,3,poultry,poultry|food,0.48,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
thit_ba_chi,Thịt ba chỉ,mass,g,3,pork,pork|food,0.98,https://noitronhanh.com/dinh-duong/thit-heo-ba-chi-thit-ba-roi-heo,
thit_nac_vai,Thịt nạc vai heo,mass,g,3,pork,pork|food,1.0,https://cooponline.vn/nac-vai-heo-hm--s250515714,
suon_heo,Sườn heo,mass,g,3,pork,pork|food,0.43,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
thit_bo_bap,Thịt bò bắp,mass,g,3,beef,beef|food,1.0,https://cooponline.vn/search?router=productListing&query=Th%E1%BB%8Bt+b%E1%BA%AFp+b%C3%B2,
thit_bo_xay,Thịt bò xay,mass,g,3,beef,beef|food,1.0,https://cooponline.vn/thit-bo-xay-200g-hdt990-f--s250515402,
ca_loc,Cá lóc,mass,g,3,fish,fish|seafood|food,0.60,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
ca_basa,Cá basa,mass,g,3,fish,fish|seafood|food,1.0,https://ru.scribd.com/document/654410839/Bang-thanh-phan-dinh-duong-Thuc-pham-VN-2017-27-4-17,
ca_nuc,Cá nục,mass,g,3,fish,fish|seafood|food,0.73,https://ru.scribd.com/document/654410839/Bang-thanh-phan-dinh-duong-Thuc-pham-VN-2017-27-4-17,
tom_the,Tôm thẻ,mass,g,3,crustacean,crustacean|seafood|food,0.46,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
muc_ong,Mực ống,mass,g,3,mollusc,mollusc|seafood|food,0.78,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
trung_ga,Trứng gà,count,item,3,egg,egg|food,0.86,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
dau_hu_trang,Đậu hũ trắng,mass,g,3,tofu,tofu|food,1.0,https://noitronhanh.com/dinh-duong/dau-phu-dau-hu,
gao_te,Gạo tẻ,mass,g,3,staple,staple|food,1.0,https://noitronhanh.com/dinh-duong/gao-te-may,
rau_muong,Rau muống,mass,g,3,vegetable,vegetable|food,0.625,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
cai_ngot,Cải ngọt,mass,g,3,vegetable,vegetable|food,1.0,https://ru.scribd.com/document/654410839/Bang-thanh-phan-dinh-duong-Thuc-pham-VN-2017-27-4-17,
cai_thao,Cải thảo,mass,g,3,vegetable,vegetable|food,1.0,https://ru.scribd.com/document/654410839/Bang-thanh-phan-dinh-duong-Thuc-pham-VN-2017-27-4-17,
bap_cai,Bắp cải,mass,g,3,vegetable,vegetable|food,0.9,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
rau_den,Rau dền,mass,g,3,vegetable,vegetable|food,0.62,https://noitronhanh.com/dinh-duong/rau-den,
bi_dao,Bí đao,mass,g,3,vegetable,vegetable|food,0.75,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
bi_do,Bí đỏ,mass,g,3,vegetable,vegetable|food,0.817,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
muop_huong,Mướp hương,mass,g,3,vegetable,vegetable|food,0.812,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
su_su,Su su,mass,g,3,vegetable,vegetable|food,0.8,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
ca_chua,Cà chua,mass,g,3,vegetable,vegetable|food,0.95,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
ca_rot,Cà rốt,mass,g,3,vegetable,vegetable|food,0.895,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
khoai_tay,Khoai tây,mass,g,3,vegetable,vegetable|food,0.87,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
dau_cove,Đậu cô ve,mass,g,3,vegetable,vegetable|food,0.9,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
gia_do,Giá đỗ,mass,g,3,vegetable,vegetable|food,0.95,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
nam_rom,Nấm rơm,mass,g,3,vegetable,vegetable|food,0.9,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
hanh_tay,Hành tây,mass,g,3,vegetable,vegetable|food,0.83,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
hanh_la,Hành lá,mass,g,3,vegetable,vegetable|food,0.8,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
hanh_tim,Hành tím,mass,g,3,vegetable,vegetable|food,0.72,https://www.matvaretabellen.no/en/shallot-raw/,
toi,Tỏi,mass,g,3,vegetable,vegetable|food,0.8,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
gung,Gừng,mass,g,3,vegetable,vegetable|food,0.9,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
sa,Sả,mass,g,3,vegetable,vegetable|food,0.72,https://www.fao.org/4/x6878e/X6878E06.htm,
ot_hiem,Ớt hiểm,mass,g,3,vegetable,vegetable|food,0.87,https://www.fao.org/4/x6878e/X6878E06.htm,
rau_ngo,Rau ngò,mass,g,3,vegetable,vegetable|food,0.85,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
me_chua,Me chua,mass,g,3,vegetable,vegetable|food,0.85,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
nuoc_mam,Nước mắm,volume,ml,3,seasoning,seasoning|food,1.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
nuoc_tuong,Nước tương,volume,ml,3,seasoning,seasoning|food,1.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,
dau_an,Dầu ăn,volume,ml,3,seasoning,seasoning|food,1.0,https://www.bachhoaxanh.com/gao-gao-nep/combo-gia-vi-am-no-gao-dau-an-nuoc-mam,
muoi,Muối,mass,g,3,seasoning,seasoning|food,1.0,https://www.bachhoaxanh.com/muoi-an,
duong_cat,Đường cát,mass,g,3,seasoning,seasoning|food,1.0,https://www.bachhoaxanh.com/hat-nem/combo-bot-ngot-duong-muoi,
