mealOptionCode,recipeCode,recipeVersionNumber,quantityMultiplier,mealRole,order
com_ga_kho_gung_rau_muong,com_trang,3,1,staple,1
com_ga_kho_gung_rau_muong,ga_kho_gung,3,1,main,2
com_ga_kho_gung_rau_muong,rau_muong_luoc,3,1,vegetable,3
com_ga_chien_mam_bap_cai,com_trang,3,0.75,staple,1
com_ga_chien_mam_bap_cai,ga_chien_nuoc_mam,3,0.75,main,2
com_ga_chien_mam_bap_cai,bap_cai_xao,3,1,vegetable,3
com_ga_xao_sa_ot_canh_bi_dao,com_trang,3,0.75,staple,1
com_ga_xao_sa_ot_canh_bi_dao,ga_xao_sa_ot,3,1,main,2
com_ga_xao_sa_ot_canh_bi_dao,canh_bi_dao_thit_bam,3,0.75,soup,3
com_ga_kho_nam_cai_ngot,com_trang,3,1,staple,1
com_ga_kho_nam_cai_ngot,ga_kho_nam,3,1,main,2
com_ga_kho_nam_cai_ngot,cai_ngot_luoc,3,0.8,vegetable,3
com_thit_kho_trung_rau_muong,com_trang,3,1,staple,1
com_thit_kho_trung_rau_muong,thit_kho_trung,3,1,main,2
com_thit_kho_trung_rau_muong,rau_muong_xao_toi,3,1,vegetable,3
com_suon_ram_man_canh_cai_thao,com_trang,3,0.5,staple,1
com_suon_ram_man_canh_cai_thao,suon_ram_man,3,0.5,main,2
com_suon_ram_man_canh_cai_thao,canh_cai_thao_thit,3,1,soup,3
com_thit_xao_dau_cove_canh_bi_do,com_trang,3,1,staple,1
com_thit_xao_dau_cove_canh_bi_do,thit_xao_dau_cove,3,1,main,2
com_thit_xao_dau_cove_canh_bi_do,canh_bi_do_thit_bam,3,1,soup,3
com_thit_xao_hanh_tay_rau_den,com_trang,3,0.25,staple,1
com_thit_xao_hanh_tay_rau_den,thit_xao_hanh_tay,3,0.333333333333,main,2
com_thit_xao_hanh_tay_rau_den,rau_den_luoc,3,1,vegetable,3
com_suon_kho_khoai_tay_cai_ngot,com_trang,3,1,staple,1
com_suon_kho_khoai_tay_cai_ngot,suon_kho_khoai_tay,3,1,main,2
com_suon_kho_khoai_tay_cai_ngot,cai_ngot_luoc,3,0.8,vegetable,3
com_bo_xao_gia_canh_ca_chua_trung,com_trang,3,1,staple,1
com_bo_xao_gia_canh_ca_chua_trung,bo_xao_gia,3,1,main,2
com_bo_xao_gia_canh_ca_chua_trung,canh_ca_chua_trung,3,1,soup,3
com_bo_kho_ca_rot_rau_muong,com_trang,3,1,staple,1
com_bo_kho_ca_rot_rau_muong,bo_kho_ca_rot,3,1,main,2
com_bo_kho_ca_rot_rau_muong,rau_muong_luoc,3,1,vegetable,3
com_bo_xao_hanh_tay_muop_xao,com_trang,3,0.75,staple,1
com_bo_xao_hanh_tay_muop_xao,bo_xao_hanh_tay,3,0.75,main,2
com_bo_xao_hanh_tay_muop_xao,muop_xao_toi,3,1,vegetable,3
com_ca_loc_kho_to_canh_chua,com_trang,3,0.5,staple,1
com_ca_loc_kho_to_canh_chua,ca_loc_kho_to,3,1,main,2
com_ca_loc_kho_to_canh_chua,canh_chua_ca_loc,3,0.5,soup,3
com_ca_basa_chien_bap_cai,com_trang,3,0.75,staple,1
com_ca_basa_chien_bap_cai,ca_basa_chien_gion,3,0.75,main,2
com_ca_basa_chien_bap_cai,bap_cai_xao,3,1,vegetable,3
com_ca_nuc_kho_ca_chua_rau_den,com_trang,3,0.25,staple,1
com_ca_nuc_kho_ca_chua_rau_den,ca_nuc_kho_ca_chua,3,0.5,main,2
com_ca_nuc_kho_ca_chua_rau_den,rau_den_luoc,3,1,vegetable,3
com_ca_basa_kho_tieu_su_su,com_trang,3,0.5,staple,1
com_ca_basa_kho_tieu_su_su,ca_basa_kho_tieu,3,1,main,2
com_ca_basa_kho_tieu_su_su,su_su_xao_ca_rot,3,0.333333333333,vegetable,3
com_tom_rim_man_canh_bi_dao,com_trang,3,1,staple,1
com_tom_rim_man_canh_bi_dao,tom_rim_man,3,0.666666666667,main,2
com_tom_rim_man_canh_bi_dao,canh_bi_dao_thit_bam,3,1,soup,3
com_tom_xao_bi_dao_cai_ngot,com_trang,3,0.5,staple,1
com_tom_xao_bi_dao_cai_ngot,tom_xao_bi_dao,3,1,main,2
com_tom_xao_bi_dao_cai_ngot,cai_ngot_luoc,3,0.4,vegetable,3
com_muc_xao_ca_chua_rau_muong,com_trang,3,1,staple,1
com_muc_xao_ca_chua_rau_muong,muc_xao_ca_chua,3,1,main,2
com_muc_xao_ca_chua_rau_muong,rau_muong_xao_toi,3,1,vegetable,3
com_trung_chien_hanh_canh_bi_do,com_trang,3,0.75,staple,1
com_trung_chien_hanh_canh_bi_do,trung_chien_hanh,3,1,main,2
com_trung_chien_hanh_canh_bi_do,canh_bi_do_thit_bam,3,0.75,soup,3
