foodCode,foodFactVersionNumber,packageQuantity,packageUnitCode,packageBaseQuantity,baseUnitCode,packagePriceVnd,purchaseIncrement,observedAt,sourceReference
ga_ta,3,1.2,kg,1200,g,155880,1,2026-09-17,https://winmart.vn/products/3f-ga-ta--s10620356
thit_ba_chi,3,1,kg,1000,g,199900,1,2026-09-17,https://cooponline.vn/ba-roi-heo-chuan-ngon-s-kg--s250108623
thit_nac_vai,3,1,kg,1000,g,165000,1,2026-09-17,https://cooponline.vn/nac-vai-heo-hm--s250515714
suon_heo,3,1,kg,1000,g,179000,1,2026-09-17,https://cooponline.vn/suon-non-heo-dong-lanh--s250515385
thit_bo_bap,3,1,kg,1000,g,330000,1,2026-09-17,https://cooponline.vn/search?router=productListing&query=Th%E1%BB%8Bt+b%E1%BA%AFp+b%C3%B2
thit_bo_xay,3,0.2,kg,200,g,48000,1,2026-09-17,https://cooponline.vn/thit-bo-xay-200g-hdt990-f--s250515402
ca_loc,3,1,kg,1000,g,83300,1,2026-09-17,https://cooponline.vn/c/ca
ca_basa,3,1,kg,1000,g,69900,1,2026-09-17,https://cooponline.vn/ca-basa-khong-dau--s250106285
ca_nuc,3,1,kg,1000,g,75000,1,2026-09-17,https://cooponline.vn/ca-nuc--s250107383
tom_the,3,1,kg,1000,g,275000,1,2026-09-17,https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-nuong-muoi-ot
muc_ong,3,0.25,kg,250,g,39000,1,2026-09-17,https://www.bachhoaxanh.com/ca-tom-muc-ech/muc-ong-nc-khay-250g
trung_ga,3,10,item,10,item,24000,1,2026-09-17,https://www.bachhoaxanh.com/trung/hop-10-trung-ga-tuoi-tfood
dau_hu_trang,3,0.22,kg,220,g,10000,1,2026-09-17,https://www.bachhoaxanh.com/do-chua-dua-muoi/dau-hu-trang-fuji-san-ichiban-cay-220g
gao_te,3,5,kg,5000,g,85700,1,2026-09-17,https://cooponline.vn/gao-thom-lang-ta-vua-gao-5kg--s250108994
rau_muong,3,0.4,kg,400,g,5000,1,2026-09-17,https://www.bachhoaxanh.com/rau-sach/combo-rau-muong-xao-toi
cai_ngot,3,0.4,kg,400,g,5000,1,2026-09-17,https://www.bachhoaxanh.com/rau-cu-trai-cay
cai_thao,3,1,kg,1000,g,47500,1,2026-09-17,https://cooponline.vn/bap-cai-thao-giong-dai-loan--s250108579
bap_cai,3,1,kg,1000,g,19300,1,2026-09-17,https://cooponline.vn/bap-cai-trang-coop-select-kg-tnx--s250100546
rau_den,3,0.4,kg,400,g,5000,1,2026-09-17,https://www.bachhoaxanh.com/rau-sach/rau-den-goi-300g
bi_dao,3,1,kg,1000,g,26900,1,2026-09-17,https://cooponline.vn/bi-dao-coop-select-kg--s250100669
bi_do,3,1,kg,1000,g,26500,1,2026-09-17,https://cooponline.vn/bi-do-tron--s250107834
muop_huong,3,1,kg,1000,g,29900,1,2026-09-17,https://cooponline.vn/muop-huong-coop-select-kg--s250100672
su_su,3,1,kg,1000,g,29000,1,2026-09-17,https://cooponline.vn/su-su-kg--s250105954
ca_chua,3,0.5,kg,500,g,12000,1,2026-09-17,https://www.bachhoaxanh.com/cu/hanh-tay-300gr
ca_rot,3,0.5,kg,500,g,16500,1,2026-09-17,https://www.bachhoaxanh.com/cu/hanh-tay-300gr
khoai_tay,3,1,kg,1000,g,42900,1,2026-09-17,https://cooponline.vn/tin-tuc/khoai-tay-vang-voi-khoai-tay-trang-loai-nao-de-chien-lam-sup
dau_cove,3,0.3,kg,300,g,51900,1,2026-09-17,https://cooponline.vn/dau-cove-co-op-organic-300g-ql--s250105264
gia_do,3,0.3,kg,300,g,11600,1,2026-09-17,https://www.bachhoaxanh.com/rau-sach/gia-dau-xanh-tui-300g
nam_rom,3,0.2,kg,200,g,29500,1,2026-09-17,https://cooponline.vn/nam-rom-tuoi-200g-nam-xanh-f--s250516133
hanh_tay,3,0.5,kg,500,g,17500,1,2026-09-17,https://www.bachhoaxanh.com/cu/hanh-tay-300gr
hanh_la,3,0.1,kg,100,g,6400,1,2026-09-17,https://www.bachhoaxanh.com/rau-sach/hanh-la-goi-100g
hanh_tim,3,1,kg,1000,g,93900,1,2026-09-17,https://cooponline.vn/hanh-tim--s250106131
toi,3,0.1,kg,100,g,14900,1,2026-09-17,https://cooponline.vn/toi-hai-duong-100g--s250618968
gung,3,1,kg,1000,g,88900,1,2026-09-17,https://cooponline.vn/gung-kg-td--s250707912
sa,3,1,kg,1000,g,27000,1,2026-09-17,https://cooponline.vn/sa-cay-kg--s250108019
ot_hiem,3,0.05,kg,50,g,4900,1,2026-09-17,https://www.bachhoaxanh.com/mi/mi-a-one-lau-tom-ot-xanh-goi-79gr-thung-30
rau_ngo,3,0.03,kg,30,g,6500,1,2026-09-17,https://cooponline.vn/rau-ngo-ri-300g--s250518112
me_chua,3,1,kg,1000,g,17000,1,2026-09-17,https://marketplace.tripmap.vn/product/me-chua-1kg-tuoi-song-cho-canh-chua-dam-nuoc
nuoc_mam,3,0.61,l,610,ml,81000,1,2026-09-17,https://www.bachhoaxanh.com/gao-gao-nep/combo-gia-vi-am-no-gao-dau-an-nuoc-mam
nuoc_tuong,3,0.5,l,500,ml,20000,1,2026-09-17,https://www.bachhoaxanh.com/nuoc-tuong
dau_an,3,1,l,1000,ml,60000,1,2026-09-17,https://www.bachhoaxanh.com/gao-gao-nep/combo-gia-vi-am-no-gao-dau-an-nuoc-mam
muoi,3,1,kg,1000,g,8000,1,2026-09-17,https://www.bachhoaxanh.com/muoi-an
duong_cat,3,1,kg,1000,g,25000,1,2026-09-17,https://www.bachhoaxanh.com/hat-nem/combo-bot-ngot-duong-muoi
tieu_xay,3,0.05,kg,50,g,20000,1,2026-09-17,https://www.bachhoaxanh.com/tieu
hat_nem,3,0.9,kg,900,g,79000,1,2026-09-17,https://www.bachhoaxanh.com/hat-nem
