recipeCode,ingredientCode,foodCode,foodFactVersionNumber,quantity,unitCode,preparationNoteVi,order
com_trang,gao_te,gao_te,2,300,g,,1
ga_kho_gung,ga_ta,ga_ta,2,500,g,,1
ga_kho_gung,gung,gung,2,30,g,,2
ga_kho_gung,hanh_tim,hanh_tim,2,20,g,,3
ga_kho_gung,nuoc_mam,nuoc_mam,2,30,ml,,4
ga_kho_gung,duong_cat,duong_cat,2,4.17,g,,5
ga_kho_gung,tieu_xay,tieu_xay,2,1.355,g,,6
ga_kho_gung,dau_an,dau_an,2,15,ml,,7
ga_chien_nuoc_mam,ga_ta,ga_ta,2,1360.8,g,,1
ga_chien_nuoc_mam,toi,toi,2,12,g,,2
ga_chien_nuoc_mam,nuoc_mam,nuoc_mam,2,45,ml,,3
ga_chien_nuoc_mam,duong_cat,duong_cat,2,50,g,,4
ga_chien_nuoc_mam,dau_an,dau_an,2,1182.9,ml,,5
ga_xao_sa_ot,ga_ta,ga_ta,2,450,g,,1
ga_xao_sa_ot,sa,sa,2,45,g,,2
ga_xao_sa_ot,ot_hiem,ot_hiem,2,15,g,,3
ga_xao_sa_ot,toi,toi,2,12.6,g,,4
ga_xao_sa_ot,nuoc_mam,nuoc_mam,2,5,ml,,5
ga_xao_sa_ot,dau_an,dau_an,2,10,ml,,6
ga_kho_nam,ga_ta,ga_ta,2,1000,g,,1
ga_kho_nam,nam_rom,nam_rom,2,150,g,,2
ga_kho_nam,hanh_tim,hanh_tim,2,20,g,,3
ga_kho_nam,nuoc_mam,nuoc_mam,2,30,ml,,4
ga_kho_nam,tieu_xay,tieu_xay,2,1.355,g,,5
ga_kho_nam,dau_an,dau_an,2,30,ml,,6
thit_kho_trung,thit_ba_chi,thit_ba_chi,2,500,g,,1
thit_kho_trung,trung_ga,trung_ga,2,5,item,,2
thit_kho_trung,hanh_tim,hanh_tim,2,10,g,,3
thit_kho_trung,nuoc_mam,nuoc_mam,2,30,ml,,4
thit_kho_trung,duong_cat,duong_cat,2,25,g,,5
thit_kho_trung,tieu_xay,tieu_xay,2,2,g,,6
suon_ram_man,suon_heo,suon_heo,2,680.4,g,,1
suon_ram_man,toi,toi,2,6,g,,2
suon_ram_man,hanh_tim,hanh_tim,2,21.5,g,,3
suon_ram_man,nuoc_mam,nuoc_mam,2,37.5,ml,,4
suon_ram_man,duong_cat,duong_cat,2,25,g,,5
suon_ram_man,dau_an,dau_an,2,5,ml,,6
thit_xao_dau_cove,thit_nac_vai,thit_nac_vai,2,200,g,,1
thit_xao_dau_cove,dau_cove,dau_cove,2,400,g,,2
thit_xao_dau_cove,toi,toi,2,6,g,,3
thit_xao_dau_cove,nuoc_mam,nuoc_mam,2,30,ml,,4
thit_xao_dau_cove,dau_an,dau_an,2,15,ml,,5
thit_xao_hanh_tay,thit_nac_vai,thit_nac_vai,2,400,g,,1
thit_xao_hanh_tay,hanh_tay,hanh_tay,2,200,g,,2
thit_xao_hanh_tay,toi,toi,2,15,g,,3
thit_xao_hanh_tay,nuoc_mam,nuoc_mam,2,15,ml,,4
thit_xao_hanh_tay,tieu_xay,tieu_xay,2,1.355,g,,5
thit_xao_hanh_tay,dau_an,dau_an,2,15,ml,,6
suon_kho_khoai_tay,suon_heo,suon_heo,2,500,g,,1
suon_kho_khoai_tay,khoai_tay,khoai_tay,2,500,g,,2
suon_kho_khoai_tay,hanh_tim,hanh_tim,2,30,g,,3
suon_kho_khoai_tay,nuoc_mam,nuoc_mam,2,30,ml,,4
suon_kho_khoai_tay,duong_cat,duong_cat,2,12.5,g,,5
bo_xao_gia,thit_bo_bap,thit_bo_bap,2,300,g,,1
bo_xao_gia,gia_do,gia_do,2,100,g,,2
bo_xao_gia,toi,toi,2,9,g,,3
bo_xao_gia,hanh_la,hanh_la,2,30,g,,4
