table,row_key,field,candidate_value,source_url,source_title,match_quality,status,notes
food_nutrients.csv,ga_ta,energy_kcal,199,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,ga_ta,protein_g,20.3,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,ga_ta,carbohydrate_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,ga_ta,fat_g,13.1,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,ga_ta,fibre_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,ga_ta,sodium_mg,70,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,thit_nac_vai,energy_kcal,149,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-lon-nac-vai-tuoi.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,thit_nac_vai,protein_g,20.83,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-lon-nac-vai-tuoi.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,thit_nac_vai,fat_g,7.29,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-lon-nac-vai-tuoi.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,suon_heo,energy_kcal,187,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,suon_heo,protein_g,17.9,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,suon_heo,carbohydrate_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,suon_heo,fat_g,12.8,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,suon_heo,fibre_g,0.0,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,suon_heo,sodium_mg,60,https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,thit_bo_bap,energy_kcal,122,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-bo-bap-song.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,thit_bo_bap,protein_g,21.75,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-bo-bap-song.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,thit_bo_bap,fat_g,3.85,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-bo-bap-song.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,thit_bo_bap,sodium_mg,63,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/thit-bo-bap-song.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,ca_loc,energy_kcal,97,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-qua-tuoi.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact_synonym,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,ca_loc,protein_g,18.2,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-qua-tuoi.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact_synonym,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
food_nutrients.csv,ca_loc,fat_g,2.7,https://dulieuphapluat.vn/cong-cu/gia-tri-dinh-duong-thuc-pham/ca-qua-tuoi.html,Bảng thành phần thực phẩm Việt Nam / Dữ Liệu Pháp Luật,exact_synonym,applied_to_staging,Explicitly supported per 100 g edible portion; no inferred missing values.
